;team;date;attaque;milieu;defense;budget_transfert
1356;Evian Thonon Gaillard FIFA 15;29 Août 2014 ;68;71;67;€2.000.000
1357;Football Club de Metz FIFA 15;29 Août 2014 ;70;67;67;€1.500.000
1358;Stade Malherbe Caen FIFA 15;29 Août 2014 ;69;68;67;€2.000.000
1359;Racing Club de Lens FIFA 15;29 Août 2014 ;69;66;67;€2.000.000
1360;Paris Saint-Germain FIFA 14;19 Septembre 2014 ;83;80;80;€120.000.000
1361;AS Monaco Football Club SA FIFA 14;19 Septembre 2014 ;80;79;75;€100.000.000
1362;Olympique de Marseille FIFA 14;19 Septembre 2014 ;76;76;73;€15.000.000
1363;AS Saint-Etienne FIFA 14;19 Septembre 2014 ;75;75;76;€8.000.000
1364;LOSC Lille FIFA 14;19 Septembre 2014 ;74;75;75;€12.000.000
1365;Olympique Lyonnais FIFA 14;19 Septembre 2014 ;74;75;74;€13.000.000
1366;Stade Rennais FC FIFA 14;19 Septembre 2014 ;75;72;74;€10.000.000
1367;Montpellier Hérault SC FIFA 14;19 Septembre 2014 ;72;71;73;€9.000.000
1368;Girondins de Bordeaux FIFA 14;19 Septembre 2014 ;73;71;73;€7.000.000
1369;FC Lorient FIFA 14;19 Septembre 2014 ;76;71;71;€3.500.000
1370;Toulouse Football Club FIFA 14;19 Septembre 2014 ;74;72;71;€6.000.000
1371;OGC Nice FIFA 14;19 Septembre 2014 ;73;71;70;€4.500.000
1372;Evian Thonon Gaillard FIFA 14;19 Septembre 2014 ;73;71;66;€3.000.000
1373;Sporting Club de Bastia FIFA 14;19 Septembre 2014 ;72;71;71;€2.000.000
1374;Valenciennes FC FIFA 14;19 Septembre 2014 ;72;68;69;€3.000.000
1375;FC Nantes FIFA 14;19 Septembre 2014 ;71;70;73;€2.000.000
1376;Stade de Reims FIFA 14;19 Septembre 2014 ;70;73;70;€2.500.000
1377;FC Sochaux-Montbéliard FIFA 14;19 Septembre 2014 ;71;68;68;€4.000.000
1378;En Avant de Guingamp FIFA 14;19 Septembre 2014 ;70;67;67;€1.300.000
1379;Athlétic Club Ajaccio FIFA 14;19 Septembre 2014 ;67;68;66;€1.500.000
1380;Paris Saint-Germain FIFA 14;30 Août 2013 ;84;79;80;€120.000.000
1381;Olympique de Marseille FIFA 14;30 Août 2013 ;75;77;76;€15.000.000
1382;AS Monaco Football Club SA FIFA 14;30 Août 2013 ;81;77;72;€100.000.000
1383;Olympique Lyonnais FIFA 14;30 Août 2013 ;76;74;75;€13.000.000
1384;AS Saint-Etienne FIFA 14;30 Août 2013 ;74;74;74;€8.000.000
1385;LOSC Lille FIFA 14;30 Août 2013 ;74;76;74;€12.000.000
1386;Stade Rennais FC FIFA 14;30 Août 2013 ;74;73;73;€10.000.000
1387;Girondins de Bordeaux FIFA 14;30 Août 2013 ;74;73;73;€7.000.000
1388;Montpellier Hérault SC FIFA 14;30 Août 2013 ;72;74;72;€9.000.000
1389;Toulouse Football Club FIFA 14;30 Août 2013 ;74;72;72;€6.000.000
1390;FC Lorient FIFA 14;30 Août 2013 ;73;68;71;€3.500.000
1391;OGC Nice FIFA 14;30 Août 2013 ;76;71;68;€4.500.000
1392;Valenciennes FC FIFA 14;30 Août 2013 ;73;68;69;€3.000.000
1393;Evian Thonon Gaillard FIFA 14;30 Août 2013 ;71;70;67;€3.000.000
1394;Sporting Club de Bastia FIFA 14;30 Août 2013 ;69;67;70;€2.000.000
1395;FC Sochaux-Montbéliard FIFA 14;30 Août 2013 ;68;70;69;€4.000.000
1396;Stade de Reims FIFA 14;30 Août 2013 ;68;69;69;€2.500.000
1397;Athlétic Club Ajaccio FIFA 14;30 Août 2013 ;70;67;68;€1.500.000
1398;FC Nantes FIFA 14;30 Août 2013 ;68;67;70;€2.000.000
1399;En Avant de Guingamp FIFA 14;30 Août 2013 ;68;66;67;€1.300.000
1400;Paris Saint-Germain FIFA 13;20 Septembre 2013 ;81;80;80;€75.000.000
1401;Olympique Lyonnais FIFA 13;20 Septembre 2013 ;78;75;76;€16.000.000
1402;LOSC Lille FIFA 13;20 Septembre 2013 ;76;76;76;€15.000.000
1403;Olympique de Marseille FIFA 13;20 Septembre 2013 ;74;76;75;€12.000.000
1404;AS Saint-Etienne FIFA 13;20 Septembre 2013 ;76;75;73;€6.000.000
1405;Girondins de Bordeaux FIFA 13;20 Septembre 2013 ;75;72;74;€10.000.000
1406;Stade Rennais FC FIFA 13;20 Septembre 2013 ;73;74;73;€11.000.000
1407;Montpellier Hérault SC FIFA 13;20 Septembre 2013 ;73;74;73;€9.000.000
1408;Toulouse Football Club FIFA 13;20 Septembre 2013 ;73;73;75;€6.000.000
1409;OGC Nice FIFA 13;20 Septembre 2013 ;73;72;69;€3.500.000
1410;FC Lorient FIFA 13;20 Septembre 2013 ;73;70;71;€3.500.000
1411;Evian Thonon Gaillard FIFA 13;20 Septembre 2013 ;74;70;70;€3.000.000
1412;Valenciennes FC FIFA 13;20 Septembre 2013 ;72;72;68;€3.000.000
1413;FC Sochaux-Montbéliard FIFA 13;20 Septembre 2013 ;71;69;70;€4.000.000
1414;Sporting Club de Bastia FIFA 13;20 Septembre 2013 ;71;69;66;€1.300.000
1415;Stade Brestois 29 FIFA 13;20 Septembre 2013 ;70;69;69;€2.500.000
1416;Stade de Reims FIFA 13;20 Septembre 2013 ;68;69;68;€1.500.000
1417;Athlétic Club Ajaccio FIFA 13;20 Septembre 2013 ;71;67;65;€1.500.000
1418;ESTAC Troyes FIFA 13;20 Septembre 2013 ;67;69;66;€1.200.000
1419;A.S. Nancy Lorraine FIFA 13;20 Septembre 2013 ;66;66;65;€3.500.000
1420;Paris Saint-Germain FIFA 13;31 Août 2012 ;82;78;80;€75.000.000
1421;LOSC Lille FIFA 13;31 Août 2012 ;77;79;76;€15.000.000
1422;Olympique Lyonnais FIFA 13;31 Août 2012 ;82;76;75;€16.000.000
1423;Olympique de Marseille FIFA 13;31 Août 2012 ;77;76;73;€12.000.000
1424;Montpellier Hérault SC FIFA 13;31 Août 2012 ;73;75;76;€9.000.000
1425;Girondins de Bordeaux FIFA 13;31 Août 2012 ;75;74;75;€10.000.000
1426;Stade Rennais FC FIFA 13;31 Août 2012 ;75;75;73;€11.000.000
1427;AS Saint-Etienne FIFA 13;31 Août 2012 ;75;73;72;€6.000.000
1428;Toulouse Football Club FIFA 13;31 Août 2012 ;73;73;73;€6.000.000
1429;FC Lorient FIFA 13;31 Août 2012 ;73;71;71;€3.500.000
1430;Valenciennes FC FIFA 13;31 Août 2012 ;74;70;70;€3.000.000
1431;OGC Nice FIFA 13;31 Août 2012 ;72;68;69;€3.500.000
1432;Evian Thonon Gaillard FIFA 13;31 Août 2012 ;71;70;69;€3.000.000
1433;Stade Brestois 29 FIFA 13;31 Août 2012 ;69;70;69;€2.500.000
1434;FC Sochaux-Montbéliard FIFA 13;31 Août 2012 ;71;70;69;€4.000.000
1435;A.S. Nancy Lorraine FIFA 13;31 Août 2012 ;69;65;70;€3.500.000
1436;Athlétic Club Ajaccio FIFA 13;31 Août 2012 ;72;68;67;€1.500.000
1437;Stade de Reims FIFA 13;31 Août 2012 ;69;66;68;€1.500.000
1438;Sporting Club de Bastia FIFA 13;31 Août 2012 ;68;67;67;€1.300.000
1439;ESTAC Troyes FIFA 13;31 Août 2012 ;67;67;67;€1.200.000
1440;Paris Saint-Germain FIFA 12;10 Février 2012 ;82;79;79;€45.000.000
1441;Olympique Lyonnais FIFA 12;10 Février 2012 ;82;79;77;€22.000.000
1442;Olympique de Marseille FIFA 12;10 Février 2012 ;82;79;76;€25.000.000
1443;LOSC Lille Métropole FIFA 12;10 Février 2012 ;80;78;77;€10.000.000
1444;Montpellier HSC FIFA 12;10 Février 2012 ;76;76;75;€4.000.000
1445;Stade Rennais FC FIFA 12;10 Février 2012 ;76;75;74;€11.000.000
1446;Girondins de Bordeaux FIFA 12;10 Février 2012 ;74;77;73;€12.500.000
1447;Toulouse Football Club FIFA 12;10 Février 2012 ;75;75;71;€6.000.000
1448;AS Saint-Etienne FIFA 12;10 Février 2012 ;73;72;71;€9.000.000
1449;OGC Nice FIFA 12;10 Février 2012 ;72;72;73;€3.500.000
1450;FC Sochaux-Montbéliard FIFA 12;10 Février 2012 ;76;73;71;€4.000.000
1451;Valenciennes FC FIFA 12;10 Février 2012 ;76;73;69;€3.000.000
1452;AJ Auxerre FIFA 12;10 Février 2012 ;72;75;72;€4.000.000
1453;FC Lorient FIFA 12;10 Février 2012 ;66;72;73;€6.000.000
1454;Stade Brestois 29 FIFA 12;10 Février 2012 ;68;72;69;€2.000.000
1455;Stade Malherbe Caen FIFA 12;10 Février 2012 ;73;71;67;€2.000.000
1456;AS Nancy Lorraine FIFA 12;10 Février 2012 ;70;69;70;€3.500.000
1457;Evian Thonon Gaillard FIFA 12;10 Février 2012 ;69;70;65;€1.000.000
1458;Dijon FCO FIFA 12;10 Février 2012 ;72;70;65;€1.000.000
1459;Athlétic Club Ajaccio FIFA 12;10 Février 2012 ;69;66;66;€750.000
1460;Paris Saint-Germain FIFA 12;1 Septembre 2011 ;83;80;78;€45.000.000
1461;Olympique de Marseille FIFA 12;1 Septembre 2011 ;81;81;77;€25.000.000
1462;LOSC Lille Métropole FIFA 12;1 Septembre 2011 ;82;80;77;€10.000.000
1463;Olympique Lyonnais FIFA 12;1 Septembre 2011 ;82;79;77;€22.000.000
1464;Girondins de Bordeaux FIFA 12;1 Septembre 2011 ;74;75;76;€12.500.000
1465;Stade Rennais FC FIFA 12;1 Septembre 2011 ;76;76;73;€11.000.000
1466;Montpellier HSC FIFA 12;1 Septembre 2011 ;74;74;74;€4.000.000
1467;Toulouse Football Club FIFA 12;1 Septembre 2011 ;74;73;72;€6.000.000
1468;AS Saint-Etienne FIFA 12;1 Septembre 2011 ;72;71;72;€9.000.000
1469;AJ Auxerre FIFA 12;1 Septembre 2011 ;70;74;72;€4.000.000
1470;FC Sochaux-Montbéliard FIFA 12;1 Septembre 2011 ;74;76;72;€4.000.000
1471;OGC Nice FIFA 12;1 Septembre 2011 ;74;72;72;€3.500.000
1472;FC Lorient FIFA 12;1 Septembre 2011 ;69;74;71;€6.000.000
1473;Stade Brestois 29 FIFA 12;1 Septembre 2011 ;73;72;69;€2.000.000
1474;Valenciennes FC FIFA 12;1 Septembre 2011 ;72;71;70;€3.000.000
1475;Stade Malherbe Caen FIFA 12;1 Septembre 2011 ;73;72;69;€2.000.000
1476;AS Nancy Lorraine FIFA 12;1 Septembre 2011 ;72;71;71;€3.500.000
1477;Evian Thonon Gaillard FIFA 12;1 Septembre 2011 ;63;72;68;€1.000.000
1478;Athlétic Club Ajaccio FIFA 12;1 Septembre 2011 ;73;67;63;€750.000
1479;Dijon FCO FIFA 12;1 Septembre 2011 ;71;68;66;€1.000.000
1480;Olympique Lyonnais FIFA 11;1 Septembre 2010 ;82;81;80;€26.500.000
1481;Olympique de Marseille FIFA 11;1 Septembre 2010 ;79;78;79;€20.500.000
1482;FC Girondins de Bordeaux FIFA 11;1 Septembre 2010 ;76;77;79;€12.000.000
1483;Paris Saint-Germain FIFA 11;1 Septembre 2010 ;78;78;75;€10.000.000
1484;LOSC Lille Métropole FIFA 11;1 Septembre 2010 ;77;76;74;€6.000.000
1485;AS Monaco FC FIFA 11;1 Septembre 2010 ;73;73;72;€13.000.000
1486;AJ Auxerre FIFA 11;1 Septembre 2010 ;77;69;76;€4.000.000
1487;Toulouse FC FIFA 11;1 Septembre 2010 ;76;74;73;€4.000.000
1488;Stade Rennais FC FIFA 11;1 Septembre 2010 ;75;72;72;€6.500.000
1489;OGC Nice FIFA 11;1 Septembre 2010 ;74;73;70;€3.000.000
1490;Montpellier Hérault SC FIFA 11;1 Septembre 2010 ;72;72;73;€8.000.000
1491;A.S. Saint-Etienne FIFA 11;1 Septembre 2010 ;72;72;72;€11.000.000
1492;FC Lorient FIFA 11;1 Septembre 2010 ;73;73;71;€3.500.000
1493;Stade Malherbe Caen FIFA 11;1 Septembre 2010 ;73;71;71;€3.100.000
1494;RC Lens FIFA 11;1 Septembre 2010 ;71;72;70;€4.000.000
1495;Valenciennes FC FIFA 11;1 Septembre 2010 ;70;68;71;€3.000.000
1496;A.S. Nancy-Lorraine FIFA 11;1 Septembre 2010 ;72;69;68;€4.000.000
1497;AC Arles-Avignon FIFA 11;1 Septembre 2010 ;72;65;65;€1.800.000
1498;FC Sochaux-Montbéliard FIFA 11;1 Septembre 2010 ;68;69;69;€4.000.000
1499;Stade Brestois 29 FIFA 11;1 Septembre 2010 ;68;68;67;€2.300.000
1500;Olympique Lyonnais FIFA 10;1 Septembre 2009 ;80;81;78;€70.000.000
1501;Olympique de Marseille FIFA 10;1 Septembre 2009 ;77;80;78;€45.000.000
1502;Girondins de Bordeaux FIFA 10;1 Septembre 2009 ;80;80;78;€15.000.000
1503;Paris Saint-Germain FIFA 10;1 Septembre 2009 ;74;79;72;€13.000.000
1504;Stade Rennais FC FIFA 10;1 Septembre 2009 ;73;74;76;€10.000.000
1505;Toulouse FC FIFA 10;1 Septembre 2009 ;82;75;74;€5.000.000
1506;A.S. Saint-Etienne FIFA 10;1 Septembre 2009 ;75;74;73;€9.000.000
1507;LOSC Lille Métropole FIFA 10;1 Septembre 2009 ;74;76;71;€13.000.000
1508;AS Monaco FC FIFA 10;1 Septembre 2009 ;74;74;73;€25.000.000
1509;OGC Nice FIFA 10;1 Septembre 2009 ;73;72;68;€5.000.000
1510;AJ Auxerre FIFA 10;1 Septembre 2009 ;46;69;74;€10.000.000
1511;Valenciennes FC FIFA 10;1 Septembre 2009 ;74;72;72;€2.500.000
1512;A.S. Nancy Lorraine FIFA 10;1 Septembre 2009 ;73;72;70;€4.000.000
1513;FC Sochaux-Montbéliard FIFA 10;1 Septembre 2009 ;74;69;70;€5.000.000
1514;FC Lorient Bretagne Sud FIFA 10;1 Septembre 2009 ;74;69;69;€2.500.000
1515;Le Mans Union Club 72 FIFA 10;1 Septembre 2009 ;74;67;65;€5.500.000
1516;Grenoble Foot 38 FIFA 10;1 Septembre 2009 ;73;71;68;€2.000.000
1517;Racing Club de Lens FIFA 10;1 Septembre 2009 ;72;69;69;€4.500.000
1518;U.S. Boulogne Cote D'Opale FIFA 10;1 Septembre 2009 ;74;66;65;€750.000
1519;Montpellier Hérault Sport Club FIFA 10;1 Septembre 2009 ;66;71;69;€1.400.000
1520;OL FIFA 09;1 Septembre 2008 ;85;81;79;€55.000.000
1521;OM FIFA 09;1 Septembre 2008 ;80;77;75;€30.000.000
1522;FCGB FIFA 09;1 Septembre 2008 ;78;77;77;€15.000.000
1523;A.S.S.E. FIFA 09;1 Septembre 2008 ;81;73;72;€9.000.000
1524;PSG FIFA 09;1 Septembre 2008 ;72;78;72;€13.000.000
1525;LOSC Lille FIFA 09;1 Septembre 2008 ;76;74;74;€13.000.000
1526;Stade Rennais FC FIFA 09;1 Septembre 2008 ;75;73;69;€10.000.000
1527;AS Monaco FIFA 09;1 Septembre 2008 ;68;71;71;€25.000.000
1528;Le Mans U.C. 72 FIFA 09;1 Septembre 2008 ;75;72;69;€5.500.000
1529;Sochaux FIFA 09;1 Septembre 2008 ;68;72;72;€5.000.000
1530;ASNL FIFA 09;1 Septembre 2008 ;68;69;74;€4.000.000
1531;SM Caen FIFA 09;1 Septembre 2008 ;79;71;68;€1.000.000
1532;FC Nantes FIFA 09;1 Septembre 2008 ;74;71;70;€5.000.000
1533;Toulouse FC FIFA 09;1 Septembre 2008 ;70;70;72;€5.000.000
1534;OGC Nice Côte D'Azur FIFA 09;1 Septembre 2008 ;68;70;70;€5.000.000
1535;Valenciennes FC FIFA 09;1 Septembre 2008 ;72;69;69;€2.500.000
1536;AJ Auxerre FIFA 09;1 Septembre 2008 ;71;66;70;€10.000.000
1537;FC Lorient FIFA 09;1 Septembre 2008 ;74;69;66;€2.500.000
1538;Havre AC FIFA 09;1 Septembre 2008 ;70;69;67;€500.000
1539;Grenoble FIFA 09;1 Septembre 2008 ;69;66;67;€500.000
1540;Olympique Lyonnais FIFA 08;25 Août 2007 ;80;80;79;€45.000.000
1541;Marseille FIFA 08;25 Août 2007 ;79;76;79;€17.000.000
1542;Paris Saint-Germain FIFA 08;25 Août 2007 ;81;76;74;€13.000.000
1543;FC Girondins Bordeaux FIFA 08;25 Août 2007 ;74;72;74;€15.000.000
1544;Stade Rennais FIFA 08;25 Août 2007 ;79;76;76;€10.000.000
1545;A.S. Saint-Etienne FIFA 08;25 Août 2007 ;77;73;75;€9.000.000
1546;RC Lens FIFA 08;25 Août 2007 ;76;76;74;€8.000.000
1547;Toulouse F.C. FIFA 08;25 Août 2007 ;85;70;69;€5.000.000
1548;AS Monaco FIFA 08;25 Août 2007 ;75;73;72;€15.000.000
1549;OGC Nice FIFA 08;25 Août 2007 ;76;71;72;€5.000.000
1550;AJ Auxerre FIFA 08;25 Août 2007 ;76;70;67;€10.000.000
1551;Lille OSC FIFA 08;25 Août 2007 ;74;75;71;€13.000.000
1552;Le Mans U.C. 72 FIFA 08;25 Août 2007 ;73;73;71;€5.500.000
1553;FC Sochaux FIFA 08;25 Août 2007 ;61;69;72;€5.000.000
1554;Valenciennes FC FIFA 08;25 Août 2007 ;77;68;69;€2.500.000
1555;A.S. Nancy-Lorraine FIFA 08;25 Août 2007 ;71;67;71;€4.000.000
1556;SM Caen FIFA 08;25 Août 2007 ;69;71;67;€1.000.000
1557;FC Metz FIFA 08;25 Août 2007 ;74;69;67;€1.000.000
1558;RC Strasbourg FIFA 08;25 Août 2007 ;69;70;65;€2.000.000
1559;Lorient FIFA 08;25 Août 2007 ;67;68;64;€2.500.000
1560;Olympique Lyonnais FIFA 07;28 Août 2006 ;83;82;83;€45.000.000
1561;AS Monaco FIFA 07;28 Août 2006 ;83;77;77;€15.000.000
1562;Paris Saint-Germain FIFA 07;28 Août 2006 ;83;76;77;€15.000.000
1563;Lille Osc FIFA 07;28 Août 2006 ;80;76;75;€13.000.000
1564;Bordeaux FIFA 07;28 Août 2006 ;78;80;78;€20.000.000
1565;Marseille FIFA 07;28 Août 2006 ;78;76;76;€15.000.000
1566;Rennes FIFA 07;28 Août 2006 ;80;73;76;€10.000.000
1567;RC Lens FIFA 07;28 Août 2006 ;78;77;73;€8.000.000
1568;FC Nantes FIFA 07;28 Août 2006 ;74;73;73;€7.000.000
1569;AJ Auxerre FIFA 07;28 Août 2006 ;72;76;74;€10.000.000
1570;AS Saint-Etienne FIFA 07;28 Août 2006 ;75;75;76;€5.000.000
1571;OGC Nice FIFA 07;28 Août 2006 ;75;72;73;€5.000.000
1572;Sochaux FIFA 07;28 Août 2006 ;66;70;73;€5.000.000
1573;Toulouse FIFA 07;28 Août 2006 ;75;74;73;€5.000.000
1574;ES Troyes AC FIFA 07;28 Août 2006 ;72;73;73;€4.000.000
1575;Le Mans UC 72 FIFA 07;28 Août 2006 ;74;71;71;€5.500.000
1576;AS Nancy-Lorraine FIFA 07;28 Août 2006 ;72;70;72;€5.000.000
1577;Lorient FIFA 07;28 Août 2006 ;61;72;66;€2.500.000
1578;Cs Sedan-Ardennes FIFA 07;28 Août 2006 ;68;65;67;€2.500.000
1579;Valenciennes FC FIFA 07;28 Août 2006 ;73;65;65;€2.500.000
1580;Olympique Lyonnais FIFA 06;24 Août 2005 ;83;90;82;
1581;Paris Saint-Germain FIFA 06;24 Août 2005 ;84;79;79;
1582;AS Monaco FIFA 06;24 Août 2005 ;82;76;81;
1583;Stade Rennais FC FIFA 06;24 Août 2005 ;79;76;72;
1584;Olympique de Marseille FIFA 06;24 Août 2005 ;77;74;78;
1585;AJ Auxerre FIFA 06;24 Août 2005 ;79;75;70;
1586;OGC Nice FIFA 06;24 Août 2005 ;75;71;76;
1587;FC Sochaux FIFA 06;24 Août 2005 ;73;73;71;
1588;Girondins de Bordeaux FIFA 06;24 Août 2005 ;71;78;69;
1589;RC Lens FIFA 06;24 Août 2005 ;70;76;71;
1590;FC Nantes FIFA 06;24 Août 2005 ;69;74;69;
1591;AS Saint-Etienne FIFA 06;24 Août 2005 ;71;73;69;
1592;FC Metz FIFA 06;24 Août 2005 ;73;65;72;
1593;RC Strasbourg FIFA 06;24 Août 2005 ;72;71;67;
1594;Toulouse FC FIFA 06;24 Août 2005 ;80;62;68;
1595;Lille OSC FIFA 06;24 Août 2005 ;71;67;70;
1596;AC Ajaccio FIFA 06;24 Août 2005 ;68;70;70;
1597;ESTAC FIFA 06;24 Août 2005 ;72;65;69;
1598;Le Mans UC 72 FIFA 06;24 Août 2005 ;67;67;66;
1599;AS Nancy-Lorraine FIFA 06;24 Août 2005 ;66;63;65;
1600;Olympique Lyonnais FIFA 05;8 Octobre 2004 ;83;82;79;
1601;AS Monaco FIFA 05;8 Octobre 2004 ;83;79;82;
1602;Olympique de Marseille FIFA 05;8 Octobre 2004 ;79;79;75;
1603;Paris Saint-Germain FIFA 05;8 Octobre 2004 ;80;76;81;
1604;Girondins de Bordeaux FIFA 05;8 Octobre 2004 ;77;76;74;
1605;RC Lens FIFA 05;8 Octobre 2004 ;74;77;74;
1606;Stade Rennais FC FIFA 05;8 Octobre 2004 ;82;73;74;
1607;FC Nantes FIFA 05;8 Octobre 2004 ;76;73;71;
1608;FC Sochaux FIFA 05;8 Octobre 2004 ;77;72;68;
1609;AJ Auxerre FIFA 05;8 Octobre 2004 ;76;73;70;
1610;SC Bastia FIFA 05;8 Octobre 2004 ;75;71;69;
1611;AS Saint-Etienne FIFA 05;8 Octobre 2004 ;74;71;68;
1612;Lille OSC FIFA 05;8 Octobre 2004 ;66;69;71;
1613;Toulouse FC FIFA 05;8 Octobre 2004 ;75;67;64;
1614;OGC Nice FIFA 05;8 Octobre 2004 ;69;69;66;
1615;FC Metz FIFA 05;8 Octobre 2004 ;67;67;68;
1616;RC Strasbourg FIFA 05;8 Octobre 2004 ;71;69;63;
1617;Stade Malherbe de Caen FIFA 05;8 Octobre 2004 ;67;63;67;
1618;Istres FIFA 05;8 Octobre 2004 ;64;65;64;
1619;AC Ajaccio FIFA 05;8 Octobre 2004 ;63;64;65;
1620;Liverpool FIFA 21;28 Janvier 2021 ;87;84;86;€90.000.000
1621;Manchester City FIFA 21;28 Janvier 2021 ;86;86;83;€176.000.000
1622;Tottenham Hotspur FIFA 21;28 Janvier 2021 ;89;82;82;€75.000.000
1623;Manchester United FIFA 21;28 Janvier 2021 ;83;82;81;€177.000.000
1624;Chelsea FIFA 21;28 Janvier 2021 ;81;83;81;€85.000.000
1625;Leicester City FIFA 21;28 Janvier 2021 ;82;80;78;€45.000.000
1626;Arsenal FIFA 21;28 Janvier 2021 ;81;80;78;€80.000.000
1627;Everton FIFA 21;28 Janvier 2021 ;81;79;78;€51.000.000
1628;Wolverhampton Wanderers FIFA 21;28 Janvier 2021 ;79;80;79;€45.000.000
1629;West Ham United FIFA 21;28 Janvier 2021 ;79;78;77;€35.000.000
1630;Southampton FIFA 21;28 Janvier 2021 ;78;77;76;€35.000.000
1631;Crystal Palace FIFA 21;28 Janvier 2021 ;77;76;75;€30.000.000
1632;Newcastle United FIFA 21;28 Janvier 2021 ;77;76;75;€30.000.000
1633;Burnley FIFA 21;28 Janvier 2021 ;76;76;77;€27.000.000
1634;Aston Villa FIFA 21;28 Janvier 2021 ;75;78;75;€37.500.000
1635;Brighton & Hove Albion FIFA 21;28 Janvier 2021 ;76;75;76;€36.000.000
1636;Fulham FIFA 21;28 Janvier 2021 ;75;76;74;€16.500.000
1637;Leeds United FIFA 21;28 Janvier 2021 ;75;76;74;€16.500.000
1638;Sheffield United FIFA 21;28 Janvier 2021 ;73;75;74;€20.000.000
1639;West Bromwich Albion FIFA 21;28 Janvier 2021 ;72;74;72;€18.500.000
1640;Liverpool FIFA 21;10 Décembre 2020 ;86;84;86;€90.000.000
1641;Manchester City FIFA 21;10 Décembre 2020 ;86;86;83;€176.000.000
1642;Tottenham Hotspur FIFA 21;10 Décembre 2020 ;89;82;82;€75.000.000
1643;Manchester United FIFA 21;10 Décembre 2020 ;83;82;81;€177.000.000
1644;Chelsea FIFA 21;10 Décembre 2020 ;82;83;81;€85.000.000
1645;Arsenal FIFA 21;10 Décembre 2020 ;87;79;78;€80.000.000
1646;Leicester City FIFA 21;10 Décembre 2020 ;81;80;77;€45.000.000
1647;Everton FIFA 21;10 Décembre 2020 ;80;79;79;€51.000.000
1648;Wolverhampton Wanderers FIFA 21;10 Décembre 2020 ;79;81;78;€45.000.000
1649;West Ham United FIFA 21;10 Décembre 2020 ;79;78;77;€35.000.000
1650;Crystal Palace FIFA 21;10 Décembre 2020 ;79;76;76;€30.000.000
1651;Newcastle United FIFA 21;10 Décembre 2020 ;79;76;75;€30.000.000
1652;Southampton FIFA 21;10 Décembre 2020 ;78;77;76;€35.000.000
1653;Aston Villa FIFA 21;10 Décembre 2020 ;76;77;75;€37.500.000
1654;Burnley FIFA 21;10 Décembre 2020 ;76;76;76;€27.000.000
1655;Brighton & Hove Albion FIFA 21;10 Décembre 2020 ;75;76;75;€36.000.000
1656;Fulham FIFA 21;10 Décembre 2020 ;75;75;74;€16.500.000
1657;Leeds United FIFA 21;10 Décembre 2020 ;74;77;74;€16.500.000
1658;Sheffield United FIFA 21;10 Décembre 2020 ;73;76;75;€20.000.000
1659;West Bromwich Albion FIFA 21;10 Décembre 2020 ;73;73;72;€18.500.000
1660;Liverpool FIFA 21;26 Novembre 2020 ;86;84;86;€90.000.000
1661;Manchester City FIFA 21;26 Novembre 2020 ;86;86;83;€176.000.000
1662;Tottenham Hotspur FIFA 21;26 Novembre 2020 ;89;82;81;€75.000.000
1663;Chelsea FIFA 21;26 Novembre 2020 ;85;83;81;€85.000.000
1664;Manchester United FIFA 21;26 Novembre 2020 ;84;82;81;€177.000.000
1665;Arsenal FIFA 21;26 Novembre 2020 ;83;80;78;€80.000.000
1666;Leicester City FIFA 21;26 Novembre 2020 ;81;80;77;€45.000.000
1667;Everton FIFA 21;26 Novembre 2020 ;80;79;79;€51.000.000
1668;West Ham United FIFA 21;26 Novembre 2020 ;79;78;76;€35.000.000
1669;Wolverhampton Wanderers FIFA 21;26 Novembre 2020 ;78;81;78;€45.000.000
1670;Crystal Palace FIFA 21;26 Novembre 2020 ;79;76;76;€30.000.000
1671;Newcastle United FIFA 21;26 Novembre 2020 ;79;76;75;€30.000.000
1672;Southampton FIFA 21;26 Novembre 2020 ;78;77;76;€35.000.000
1673;Burnley FIFA 21;26 Novembre 2020 ;76;76;77;€27.000.000
1674;Aston Villa FIFA 21;26 Novembre 2020 ;76;76;75;€37.500.000
1675;Brighton & Hove Albion FIFA 21;26 Novembre 2020 ;75;76;74;€36.000.000
1676;Leeds United FIFA 21;26 Novembre 2020 ;78;75;74;€16.500.000
1677;Fulham FIFA 21;26 Novembre 2020 ;75;74;74;€16.500.000
1678;Sheffield United FIFA 21;26 Novembre 2020 ;73;77;75;€20.000.000
1679;West Bromwich Albion FIFA 21;26 Novembre 2020 ;72;73;72;€18.500.000
1680;Liverpool FIFA 21;27 Octobre 2020 ;89;84;86;€90.000.000
1681;Manchester City FIFA 21;27 Octobre 2020 ;86;86;83;€176.000.000
1682;Chelsea FIFA 21;27 Octobre 2020 ;85;83;81;€85.000.000
1683;Tottenham Hotspur FIFA 21;27 Octobre 2020 ;85;82;81;€75.000.000
1684;Manchester United FIFA 21;27 Octobre 2020 ;84;82;82;€177.000.000
1685;Arsenal FIFA 21;27 Octobre 2020 ;84;81;77;€80.000.000
1686;Leicester City FIFA 21;27 Octobre 2020 ;81;79;79;€45.000.000
1687;Everton FIFA 21;27 Octobre 2020 ;81;78;79;€51.000.000
1688;West Ham United FIFA 21;27 Octobre 2020 ;79;78;77;€35.000.000
1689;Wolverhampton Wanderers FIFA 21;27 Octobre 2020 ;78;82;78;€45.000.000
