;player;club;date;taille;poid;meilleur_pied;age;valeur;salaire;controles;dribbles;marquage;tacle_glisse;tacle_debout;engagement;reactivite;placement;intercept;vista;discipline;passe_centre;passe_courte;passe_longue;phy_acceleration;phy_endurance;phy_force; phy_equilibre;phy_vitesse;phy_agilite;phy_detente;tir_tete;tir_frappe;tir_finition;tir_loin;tir_effet;tir_precision;tir_penalty;tir_volee;gardien_placement;gardien_plongeon;gardien_main;gardien_pied;gardien_reflexe;phy_equilibre
127;Gerhard Tremmel;Hertha Berlin;24 Août 2005 ;190 cm;89 kg;Droit;26;;;25;35;24;35;;40;53;;;;57;35;35;24;35;40;70;;35;;;35;35;;20.0;;24;;;78;;74;;72;
128;Alexander Madlung;Hertha Berlin;24 Août 2005 ;193 cm;87 kg;Droit;23;;;46;24;81;80;;88;74;;;;76;58;63;67;64;81;91;;74;;;85;81;;64.0;;58;;;24;;20;;24;
129;Thorben Marx;Hertha Berlin;24 Août 2005 ;182 cm;79 kg;Droit;24;;;77;74;53;61;;64;82;;;;74;75;83;79;73;71;73;;81;;;74;84;;82.0;;64;;;20;;23;;21;
130;Pál Dárdai;Hertha Berlin;24 Août 2005 ;179 cm;77 kg;Gauche;29;;;72;59;73;62;;89;76;;;;67;64;83;52;72;82;44;;74;;;56;74;;47.0;;59;;;23;;23;;22;
131;Solomon Ndubisi Okoronkwo;Hertha Berlin;24 Août 2005 ;182 cm;73 kg;Droit;18;;;71;67;27;38;;88;63;;;;58;59;62;53;74;65;81;;78;;;61;75;;64.0;;69;;;20;;22;;21;
132;Alexander Ludwig;Hertha Berlin;24 Août 2005 ;177 cm;70 kg;Droit;21;;;83;79;26;37;;61;65;;;;65;75;77;67;78;67;65;;77;;;34;65;;62.0;;58;;;25;;23;;21;
133;Oliver Schröder;Hertha Berlin;24 Août 2005 ;183 cm;83 kg;Droit;25;;;62;46;76;77;;82;76;;;;77;66;69;68;71;78;82;;78;;;78;78;;64.0;;54;;;20;;21;;23;
134;Ashkan Dejagah;Hertha Berlin;24 Août 2005 ;181 cm;74 kg;Droit;19;;;72;75;26;37;;64;64;;;;54;68;66;58;74;68;75;;78;;;61;72;;69.0;;69;;;21;;21;;23;
135;Sejad Salihovic;Hertha Berlin;24 Août 2005 ;181 cm;82 kg;Gauche;20;;;79;80;27;37;;73;76;;;;72;62;67;74;74;75;78;;78;;;41;82;;76.0;;66;;;21;;24;;21;
136;Christian Müller;Hertha Berlin;24 Août 2005 ;182 cm;68 kg;Droit;21;;;76;77;36;41;;74;72;;;;64;76;76;67;76;63;61;;79;;;43;71;;65.0;;69;;;25;;24;;23;
137;Zecke;Hertha Berlin;24 Août 2005 ;178 cm;72 kg;Gauche;30;;;73;75;54;62;;95;77;;;;59;76;72;73;86;78;74;;84;;;54;73;;69.0;;59;;;25;;22;;22;
138;Hans-Jörg Butt;Bayer Leverkusen;24 Août 2005 ;191 cm;91 kg;Droit;31;;;36;21;22;22;;62;54;;;;68;33;31;67;57;58;78;;56;;;63;68;;41.0;;27;;;86;;76;;76;
139;Gonzalo Castro;Bayer Leverkusen;24 Août 2005 ;172 cm;70 kg;Droit;18;;;71;62;69;71;;76;73;;;;61;64;74;63;68;68;61;;71;;;57;55;;58.0;;54;;;20;;20;;24;
140;Juan;Bayer Leverkusen;24 Août 2005 ;181 cm;73 kg;Droit;26;;;74;56;88;86;;78;84;;;;70;59;68;72;78;81;78;;74;;;92;62;;53.0;;24;;;25;;20;;23;
141;Roque Júnior;Bayer Leverkusen;24 Août 2005 ;186 cm;73 kg;Droit;28;;;70;51;84;86;;70;78;;;;88;54;65;64;68;77;68;;71;;;86;71;;59.0;;41;;;23;;23;;22;
142;Athirson;Bayer Leverkusen;24 Août 2005 ;181 cm;77 kg;Gauche;28;;;81;76;73;72;;74;67;;;;62;80;76;68;76;70;63;;77;;;51;64;;63.0;;53;;;23;;25;;22;
143;Paul Freier;Bayer Leverkusen;24 Août 2005 ;180 cm;81 kg;Droit;26;;;71;93;38;47;;62;68;;;;52;72;69;49;86;66;68;;86;;;36;72;;77.0;;62;;;20;;23;;22;
144;Bernd Schneider;Bayer Leverkusen;24 Août 2005 ;176 cm;74 kg;Droit;31;;;89;87;66;64;;70;88;;;;78;89;87;76;77;82;64;;84;;;44;64;;81.0;;72;;;23;;23;;22;
145;Carsten Ramelow;Bayer Leverkusen;24 Août 2005 ;185 cm;80 kg;Droit;31;;;63;36;84;85;;81;91;;;;80;49;69;71;66;91;80;;68;;;74;65;;57.0;;52;;;20;;25;;20;
146;Jacek Krzynówek;Bayer Leverkusen;24 Août 2005 ;180 cm;73 kg;Gauche;29;;;76;78;52;57;;66;71;;;;64;87;76;78;76;80;41;;76;;;54;96;;93.0;;79;;;20;;20;;25;
147;Dimitar Berbatov;Bayer Leverkusen;24 Août 2005 ;188 cm;79 kg;Droit;24;;;86;74;39;46;;69;78;;;;67;60;68;47;77;70;73;;70;;;89;75;;67.0;;86;;;24;;23;;24;
148;Andrej Voronin;Bayer Leverkusen;24 Août 2005 ;179 cm;75 kg;Droit;26;;;88;79;23;42;;77;70;;;;60;84;68;45;89;82;78;;92;;;69;76;;76.0;;86;;;23;;20;;22;
149;Jens Nowotny;Bayer Leverkusen;24 Août 2005 ;187 cm;87 kg;Droit;31;;;63;62;89;91;;72;86;;;;91;45;69;71;68;68;72;;69;;;89;60;;54.0;;41;;;20;;23;;25;
150;Marko Babic;Bayer Leverkusen;24 Août 2005 ;186 cm;72 kg;Gauche;24;;;72;76;69;62;;72;66;;;;58;83;72;68;86;64;70;;87;;;59;70;;63.0;;63;;;22;;22;;21;
151;Clemens Fritz;Bayer Leverkusen;24 Août 2005 ;183 cm;77 kg;Droit;24;;;70;68;68;69;;72;71;;;;64;72;72;67;76;73;66;;73;;;62;54;;57.0;;56;;;24;;22;;21;
152;Simon Rolfes;Bayer Leverkusen;24 Août 2005 ;189 cm;79 kg;Gauche;23;;;68;65;68;76;;68;81;;;;78;64;66;72;73;81;76;;74;;;66;64;;63.0;;45;;;24;;23;;21;
153;Jan-Ingwer Callsen-Bracker;Bayer Leverkusen;24 Août 2005 ;187 cm;81 kg;Droit;20;;;66;50;67;67;;62;63;;;;58;43;58;62;72;65;60;;68;;;68;50;;53.0;;39;;;25;;23;;22;
154;René Adler;Bayer Leverkusen;24 Août 2005 ;189 cm;80 kg;Droit;20;;;32;22;29;34;;30;55;;;;35;35;23;22;27;60;20;;35;;;28;51;;23.0;;24;;;57;;70;;61;
155;Ahmed Reda Madouni;Bayer Leverkusen;24 Août 2005 ;190 cm;74 kg;Droit;24;;;61;52;72;74;;53;63;;;;57;39;61;55;61;71;68;;67;;;71;47;;42.0;;31;;;25;;20;;24;
156;Danko Lazovic;Bayer Leverkusen;24 Août 2005 ;184 cm;75 kg;Gauche;22;;;60;60;38;20;;60;70;;;;60;45;45;45;65;70;77;;75;;;65;70;;72.0;;75;;;21;;22;;23;
157;Tranquillo Barnetta;Bayer Leverkusen;24 Août 2005 ;176 cm;62 kg;Droit;20;;;71;75;45;49;;59;66;;;;71;73;64;60;74;70;58;;72;;;55;61;;62.0;;40;;;25;;23;;20;
158;Tom Starke;Bayer Leverkusen;24 Août 2005 ;194 cm;91 kg;Droit;24;;;32;25;22;25;;33;52;;;;58;22;34;36;52;50;64;;57;;;22;29;;22.0;;22;;;53;;54;;66;
159;Josip Tadic;Bayer Leverkusen;24 Août 2005 ;185 cm;74 kg;Droit;18;;;72;71;39;46;;58;70;;;;54;68;68;57;76;63;66;;76;;;69;68;;70.0;;76;;;22;;21;;21;
160;Stefan Wächter;Hambourg SV;24 Août 2005 ;189 cm;86 kg;Droit;27;;;24;20;23;29;;69;42;;;;54;24;44;46;79;79;74;;63;;;32;64;;20.0;;22;;;61;;58;;77;
161;Khalid Boulahrouz;Hambourg SV;24 Août 2005 ;176 cm;74 kg;Droit;23;;;64;28;88;84;;84;73;;;;57;72;64;76;74;74;74;;66;;;81;64;;42.0;;22;;;21;;20;;21;
162;Bastian Reinhardt;Hambourg SV;24 Août 2005 ;194 cm;95 kg;Droit;29;;;44;22;81;81;;72;62;;;;62;38;36;49;54;82;84;;65;;;86;66;;46.0;;24;;;23;;23;;21;
163;Daniel Van Buyten;Hambourg SV;24 Août 2005 ;196 cm;87 kg;Droit;27;;;61;36;89;91;;81;86;;;;83;36;64;72;79;88;96;;84;;;96;81;;61.0;;42;;;23;;21;;23;
164;Thimothée Atouba;Hambourg SV;24 Août 2005 ;190 cm;79 kg;Gauche;23;;;80;72;78;72;;42;75;;;;69;73;60;57;78;81;80;;81;;;46;75;;48.0;;56;;;28;;29;;23;
165;David Jarolim;Hambourg SV;24 Août 2005 ;172 cm;68 kg;Droit;26;;;79;74;41;42;;61;74;;;;70;64;74;62;64;74;59;;64;;;38;62;;58.0;;38;;;25;;21;;23;
166;Rafael van der Vaart;Hambourg SV;24 Août 2005 ;175 cm;70 kg;Gauche;22;;;88;84;54;54;;66;69;;;;68;87;89;84;89;76;77;;88;;;67;84;;71.0;;72;;;20;;20;;20;
167;Stefan Beinlich;Hambourg SV;24 Août 2005 ;180 cm;77 kg;Gauche;33;;;82;69;41;39;;56;82;;;;74;71;83;83;61;61;61;;61;;;62;64;;71.0;;62;;;20;;25;;22;
168;Sergej Barbarez;Hambourg SV;24 Août 2005 ;188 cm;80 kg;Gauche;33;;;87;76;41;58;;83;77;;;;28;76;81;76;68;76;74;;68;;;81;77;;64.0;;81;;;20;;23;;21;
169;Benjamin Lauth;Hambourg SV;24 Août 2005 ;179 cm;79 kg;Droit;24;;;84;86;38;44;;77;63;;;;69;74;76;28;82;73;75;;84;;;84;79;;54.0;;89;;;22;;21;;22;
170;Emile Mpenza;Hambourg SV;24 Août 2005 ;177 cm;75 kg;Droit;27;;;81;81;32;46;;81;72;;;;69;64;69;49;91;82;74;;84;;;84;88;;46.0;;84;;;23;;23;;24;
171;Guy Demel;Hambourg SV;24 Août 2005 ;191 cm;83 kg;Droit;24;;;64;63;74;74;;74;61;;;;57;56;56;62;71;71;84;;69;;;81;64;;38.0;;42;;;25;;20;;22;
172;Raphael Wicky;Hambourg SV;24 Août 2005 ;178 cm;75 kg;Droit;28;;;76;56;84;84;;73;66;;;;46;56;76;73;68;81;82;;66;;;72;68;;46.0;;32;;;23;;24;;21;
173;Mehdi Mahdavikia;Hambourg SV;24 Août 2005 ;172 cm;72 kg;Droit;28;;;82;82;38;64;;73;77;;;;74;84;81;68;76;74;69;;81;;;32;71;;64.0;;73;;;22;;24;;25;
174;Sascha Kirschstein;Hambourg SV;24 Août 2005 ;180 cm;75 kg;Droit;25;;;24;20;29;39;;61;69;;;;79;29;38;27;61;72;82;;48;;;29;64;;22.0;;23;;;66;;64;;71;
175;René Klingbeil;Hambourg SV;24 Août 2005 ;179 cm;76 kg;Gauche;24;;;63;44;78;81;;72;72;;;;72;41;68;47;76;78;78;;74;;;78;67;;42.0;;24;;;22;;24;;24;
176;Piotr Trochowski;Hambourg SV;24 Août 2005 ;169 cm;70 kg;Droit;21;;;82;84;21;24;;41;49;;;;70;72;72;58;74;68;28;;74;;;24;64;;56.0;;51;;;23;;25;;20;
177;Daniel Ziebig;Hambourg SV;24 Août 2005 ;179 cm;77 kg;Gauche;22;;;66;69;51;64;;66;57;;;;51;64;61;52;74;78;79;;78;;;46;56;;54.0;;41;;;23;;20;;24;
178;Naohiro Takahara;Hambourg SV;24 Août 2005 ;180 cm;76 kg;Droit;26;;;71;83;34;44;;78;68;;;;66;77;64;31;67;73;64;;67;;;79;74;;44.0;;78;;;23;;22;;21;
179;Markus Karl;Hambourg SV;24 Août 2005 ;178 cm;70 kg;Droit;19;;;69;62;36;47;;64;61;;;;69;54;63;66;69;74;74;;68;;;54;62;;54.0;;43;;;25;;21;;24;
180;Oliver Hampel;Hambourg SV;24 Août 2005 ;170 cm;65 kg;Droit;20;;;61;53;68;68;;71;64;;;;66;53;61;54;61;74;74;;64;;;56;63;;44.0;;28;;;20;;20;;22;
181;Mustafa Kucukovic;Hambourg SV;24 Août 2005 ;193 cm;84 kg;Droit;18;;;66;67;34;28;;51;59;;;;64;61;54;44;78;74;79;;74;;;71;71;;54.0;;76;;;21;;22;;22;
182;Collin Benjamin;Hambourg SV;24 Août 2005 ;186 cm;74 kg;Droit;27;;;74;76;51;54;;72;71;;;;58;77;76;68;71;82;72;;64;;;63;71;;64.0;;44;;;24;;23;;24;
183;Robert Enke;Hanovre 96;24 Août 2005 ;186 cm;78 kg;Droit;28;;;41;21;23;20;;64;74;;;;84;28;41;20;57;74;73;;54;;;20;58;;25.0;;24;;;79;;76;;89;
184;Steven Cherundolo;Hanovre 96;24 Août 2005 ;169 cm;68 kg;Droit;26;;;73;64;81;81;;77;78;;;;61;76;74;78;79;89;63;;77;;;74;73;;66.0;;51;;;23;;20;;20;
185;Per Mertesacker;Hanovre 96;24 Août 2005 ;196 cm;85 kg;Droit;20;;;57;46;87;84;;71;84;;;;91;48;61;59;64;92;87;;71;;;90;76;;57.0;;37;;;22;;21;;23;
186;Vinicius;Hanovre 96;24 Août 2005 ;189 cm;81 kg;Droit;25;;;68;61;91;84;;71;74;;;;66;52;58;71;64;87;88;;67;;;84;88;;78.0;;38;;;23;;22;;20;
187;Michael Tarnat;Hanovre 96;24 Août 2005 ;186 cm;80 kg;Gauche;35;;;74;49;76;79;;73;78;;;;74;81;74;79;66;74;79;;79;;;57;92;;74.0;;49;;;22;;20;;22;
188;Silvio Schröter;Hanovre 96;24 Août 2005 ;180 cm;71 kg;Droit;26;;;68;72;43;53;;82;72;;;;73;79;77;73;69;83;79;;73;;;68;62;;61.0;;49;;;23;;24;;21;
189;Altin Lala;Hanovre 96;24 Août 2005 ;172 cm;64 kg;Droit;29;;;73;61;74;83;;78;84;;;;82;64;74;73;67;83;71;;63;;;62;61;;61.0;;29;;;22;;20;;21;
190;Hanno Balitsch;Hanovre 96;24 Août 2005 ;182 cm;74 kg;Droit;24;;;73;53;72;84;;78;78;;;;72;58;81;74;59;73;63;;66;;;71;71;;69.0;;49;;;21;;23;;21;
191;Christoph Dabrowski;Hanovre 96;24 Août 2005 ;195 cm;82 kg;Droit;27;;;73;54;68;78;;73;74;;;;73;62;77;74;74;86;88;;72;;;81;72;;51.0;;43;;;24;;23;;22;
192;Thomas Brdaric;Hanovre 96;24 Août 2005 ;185 cm;78 kg;Droit;30;;;69;74;27;41;;64;48;;;;58;63;76;28;86;74;63;;76;;;84;77;;61.0;;89;;;22;;21;;20;
193;Vahid Hashemian;Hanovre 96;24 Août 2005 ;177 cm;78 kg;Droit;29;;;71;78;29;21;;46;41;;;;61;59;64;24;79;66;59;;91;;;94;86;;59.0;;81;;;25;;25;;21;
194;Michael Delura;Hanovre 96;24 Août 2005 ;191 cm;86 kg;Droit;20;;;69;66;33;39;;66;64;;;;69;76;63;58;81;88;66;;76;;;84;77;;76.0;;82;;;25;;23;;20;
195;Thomas Christiansen;Hanovre 96;24 Août 2005 ;180 cm;74 kg;Gauche;32;;;72;71;22;24;;58;72;;;;74;61;68;28;66;48;72;;74;;;84;73;;57.0;;87;;;21;;25;;23;
196;Daniel Stendel;Hanovre 96;24 Août 2005 ;179 cm;78 kg;Droit;31;;;63;71;24;39;;74;54;;;;88;64;67;44;74;78;61;;78;;;71;78;;62.0;;84;;;21;;20;;23;
197;Jiri Stajner;Hanovre 96;24 Août 2005 ;185 cm;82 kg;Droit;29;;;74;76;23;28;;69;64;;;;59;61;64;61;66;61;84;;74;;;74;78;;71.0;;74;;;21;;22;;20;
198;Dariusz Zuraw;Hanovre 96;24 Août 2005 ;185 cm;79 kg;Droit;32;;;49;27;78;81;;79;59;;;;68;52;58;63;61;81;92;;66;;;84;79;;48.0;;24;;;20;;21;;21;
199;Tchavdar Yankov;Hanovre 96;24 Août 2005 ;175 cm;68 kg;Droit;21;;;79;77;46;43;;63;87;;;;63;68;74;79;64;61;52;;63;;;44;49;;63.0;;58;;;20;;24;;21;
200;Sören Halfar;Hanovre 96;24 Août 2005 ;174 cm;68 kg;Gauche;18;;;59;61;78;69;;68;71;;;;62;64;58;62;64;74;62;;71;;;77;62;;72.0;;31;;;24;;23;;21;
201;Mohammadou Idrissou;Hanovre 96;24 Août 2005 ;191 cm;82 kg;Gauche;25;;;69;81;28;41;;69;44;;;;61;64;56;59;81;79;69;;81;;;77;89;;69.0;;76;;;23;;23;;23;
202;Ricardo Sousa;Hanovre 96;24 Août 2005 ;175 cm;69 kg;Gauche;26;;;82;76;44;44;;68;84;;;;64;68;76;82;49;59;62;;62;;;43;38;;68.0;;48;;;20;;25;;25;
203;Frank Juric;Hanovre 96;24 Août 2005 ;196 cm;95 kg;Droit;31;;;25;20;20;20;;64;64;;;;79;32;38;25;53;64;89;;54;;;24;74;;25.0;;25;;;66;;64;;69;
204;Sezai Demircàn;Hanovre 96;24 Août 2005 ;173 cm;69 kg;Gauche;20;;;68;64;59;54;;63;63;;;;64;59;62;59;59;59;63;;61;;;53;39;;52.0;;54;;;25;;22;;22;
205;Fabian Montabell;Hanovre 96;24 Août 2005 ;185 cm;83 kg;Droit;20;;;48;61;41;37;;61;39;;;;59;54;63;51;59;74;56;;66;;;59;57;;61.0;;56;;;24;;21;;21;
206;Simon Jentzsch;VfL Wolfsbourg;24 Août 2005 ;196 cm;95 kg;Droit;29;;;24;20;27;34;;31;48;;;;59;35;34;22;36;44;83;;35;;;34;68;;20.0;;24;;;78;;81;;81;
207;Hans Sarpei;VfL Wolfsbourg;24 Août 2005 ;178 cm;68 kg;Droit;29;;;68;61;79;81;;69;59;;;;44;73;78;78;81;74;73;;82;;;68;73;;64.0;;23;;;20;;20;;23;
208;Peter Van der Heyden;VfL Wolfsbourg;24 Août 2005 ;183 cm;80 kg;Droit;29;;;63;44;78;76;;78;71;;;;69;54;67;56;71;74;73;;73;;;77;56;;56.0;;22;;;23;;23;;20;
209;Kevin Hofland;VfL Wolfsbourg;24 Août 2005 ;185 cm;78 kg;Gauche;26;;;54;28;84;88;;77;74;;;;56;48;79;69;71;78;84;;81;;;89;78;;34.0;;25;;;20;;22;;20;
210;Patrick Weiser;VfL Wolfsbourg;24 Août 2005 ;181 cm;74 kg;Gauche;33;;;61;68;74;72;;71;72;;;;61;78;73;71;49;73;68;;79;;;59;68;;64.0;;22;;;22;;22;;22;
211;Pablo Thiam;VfL Wolfsbourg;24 Août 2005 ;186 cm;74 kg;Droit;31;;;71;66;77;80;;75;72;;;;73;66;72;79;72;75;80;;77;;;79;76;;46.0;;43;;;22;;24;;21;
212;Miroslav Karhan;VfL Wolfsbourg;24 Août 2005 ;189 cm;85 kg;Droit;29;;;78;54;81;82;;74;78;;;;56;64;78;84;66;84;86;;72;;;84;83;;73.0;;58;;;22;;21;;22;
213;Levan Tskitishvili;VfL Wolfsbourg;24 Août 2005 ;186 cm;82 kg;Gauche;28;;;76;47;63;77;;61;70;;;;48;61;79;70;63;76;74;;66;;;57;68;;76.0;;37;;;20;;20;;22;
214;Andrés D'Alessandro;VfL Wolfsbourg;24 Août 2005 ;174 cm;68 kg;Gauche;24;;;89;92;34;28;;76;89;;;;79;88;89;76;88;79;58;;85;;;28;62;;81.0;;58;;;23;;20;;23;
215;Diego Klimowicz;VfL Wolfsbourg;24 Août 2005 ;191 cm;90 kg;Gauche;31;;;77;78;46;41;;71;66;;;;56;58;68;35;73;74;79;;78;;;89;85;;64.0;;88;;;23;;21;;21;
216;Mike Hanke;VfL Wolfsbourg;24 Août 2005 ;183 cm;75 kg;Droit;21;;;68;78;28;47;;81;68;;;;59;63;57;50;78;64;63;;74;;;84;81;;43.0;;80;;;23;;25;;20;
217;Stefan Schnoor;VfL Wolfsbourg;24 Août 2005 ;183 cm;82 kg;Gauche;34;;;34;24;83;86;;68;65;;;;59;34;72;74;65;78;81;;74;;;82;83;;64.0;;24;;;22;;22;;21;
218;Steve Marlet;VfL Wolfsbourg;24 Août 2005 ;180 cm;72 kg;Droit;31;;;74;74;37;29;;56;74;;;;56;83;56;46;84;85;47;;85;;;81;82;;78.0;;88;;;23;;22;;23;
219;Marian Hristov;VfL Wolfsbourg;24 Août 2005 ;190 cm;88 kg;Gauche;32;;;82;73;61;81;;74;77;;;;58;71;79;73;59;76;86;;73;;;84;88;;73.0;;71;;;24;;20;;22;
220;André Lenz;VfL Wolfsbourg;24 Août 2005 ;189 cm;88 kg;Droit;31;;;28;21;28;28;;53;61;;;;56;28;34;28;35;29;59;;35;;;34;44;;22.0;;20;;;77;;74;;73;
221;Juan Carlos Menseguez;VfL Wolfsbourg;24 Août 2005 ;174 cm;68 kg;Droit;21;;;86;86;64;39;;51;64;;;;57;84;71;71;82;72;66;;88;;;51;74;;54.0;;48;;;22;;23;;22;
222;Patrick Platins;VfL Wolfsbourg;24 Août 2005 ;190 cm;82 kg;Droit;22;;;24;28;28;31;;51;52;;;;53;28;31;28;35;29;49;;35;;;34;34;;20.0;;22;;;57;;61;;71;
223;Facundo Quiroga;VfL Wolfsbourg;24 Août 2005 ;178 cm;76 kg;Droit;27;;;69;54;87;89;;79;67;;;;81;64;76;77;76;76;73;;81;;;80;72;;64.0;;24;;;23;;24;;24;
224;Mirko Hrgovic;VfL Wolfsbourg;24 Août 2005 ;186 cm;76 kg;Gauche;26;;;71;59;71;71;;73;66;;;;69;61;72;72;68;72;74;;71;;;69;69;;64.0;;28;;;23;;23;;25;
225;Marko Topic;VfL Wolfsbourg;24 Août 2005 ;182 cm;80 kg;Droit;29;;;72;73;21;44;;71;62;;;;56;59;64;24;81;73;78;;81;;;70;80;;46.0;;78;;;21;;22;;20;
226;Matthias Langkamp;VfL Wolfsbourg;24 Août 2005 ;191 cm;88 kg;Droit;21;;;32;28;71;71;;74;49;;;;69;38;43;41;72;81;79;;66;;;76;38;;29.0;;32;;;20;;25;;20;
227;Karsten Fischer;VfL Wolfsbourg;24 Août 2005 ;186 cm;78 kg;Droit;21;;;51;26;77;81;;61;51;;;;71;29;64;63;63;58;64;;71;;;78;71;;61.0;;24;;;23;;21;;21;
228;Maik Franz;VfL Wolfsbourg;24 Août 2005 ;190 cm;87 kg;Droit;24;;;44;27;81;79;;72;68;;;;54;28;62;67;65;74;86;;78;;;86;78;;25.0;;22;;;20;;21;;23;
229;Stefan Wessels;FC Cologne;24 Août 2005 ;190 cm;84 kg;Droit;26;;;20;20;21;22;;42;57;;;;50;22;21;23;52;55;76;;56;;;23;22;;23.0;;22;;;74;;72;;77;
230;Christian Lell;FC Cologne;24 Août 2005 ;181 cm;80 kg;Droit;20;;;66;57;77;77;;81;64;;;;76;48;65;51;70;72;76;;72;;;74;54;;64.0;;33;;;21;;20;;20;
231;Lukas Sinkiewicz;FC Cologne;24 Août 2005 ;190 cm;88 kg;Droit;19;;;62;36;74;81;;86;61;;;;79;41;60;50;70;78;88;;71;;;82;75;;60.0;;31;;;23;;21;;25;
232;Alpay;FC Cologne;24 Août 2005 ;186 cm;81 kg;Droit;32;;;52;31;74;76;;82;71;;;;48;23;53;46;58;42;82;;59;;;81;41;;44.0;;27;;;22;;20;;24;
233;Christian Rahn;FC Cologne;24 Août 2005 ;185 cm;80 kg;Gauche;26;;;75;70;49;58;;70;65;;;;65;90;69;75;85;70;75;;80;;;60;81;;75.0;;68;;;20;;21;;20;
234;Sebastian Schindzielorz;FC Cologne;24 Août 2005 ;180 cm;75 kg;Droit;26;;;73;39;83;83;;90;81;;;;72;45;72;51;81;86;78;;74;;;81;61;;57.0;;39;;;23;;23;;23;
235;Björn Schlicke;FC Cologne;24 Août 2005 ;193 cm;87 kg;Droit;24;;;49;34;81;84;;73;61;;;;64;48;50;48;60;81;87;;61;;;83;61;;47.0;;24;;;23;;21;;23;
236;Albert Streit;FC Cologne;24 Août 2005 ;180 cm;79 kg;Droit;25;;;78;84;55;37;;60;80;;;;65;72;71;46;72;67;70;;79;;;41;75;;56.0;;53;;;25;;23;;21;
237;Markus Feulner;FC Cologne;24 Août 2005 ;181 cm;75 kg;Droit;23;;;76;81;34;41;;44;81;;;;48;69;76;72;76;61;64;;71;;;51;59;;62.0;;46;;;22;;22;;23;
238;Lukas Podolski;FC Cologne;24 Août 2005 ;180 cm;81 kg;Gauche;20;;;85;89;23;33;;68;87;;;;70;69;69;55;93;72;70;;91;;;49;89;;79.0;;90;;;23;;21;;20;
239;Imre Szabics;FC Cologne;24 Août 2005 ;180 cm;75 kg;Droit;24;;;75;80;25;39;;55;70;;;;70;60;65;30;80;65;70;;75;;;70;80;;55.0;;81;;;20;;25;;20;
240;Dimitrios Grammozis;FC Cologne;24 Août 2005 ;179 cm;78 kg;Droit;27;;;68;61;74;73;;81;66;;;;33;70;71;61;76;78;70;;69;;;66;76;;59.0;;39;;;21;;21;;20;
241;Peter Madsen;FC Cologne;24 Août 2005 ;184 cm;79 kg;Droit;27;;;87;76;25;33;;75;80;;;;44;72;72;31;80;75;67;;76;;;72;73;;52.0;;77;;;21;;22;;22;
242;Youssef Mokhtari;FC Cologne;24 Août 2005 ;185 cm;82 kg;Droit;26;;;78;71;37;45;;76;70;;;;55;77;72;71;71;78;85;;69;;;64;63;;63.0;;63;;;22;;20;;20;
243;Alexander Bade;FC Cologne;24 Août 2005 ;196 cm;90 kg;Droit;34;;;32;23;22;28;;52;62;;;;39;28;34;23;44;54;73;;42;;;38;22;;22.0;;22;;;72;;74;;66;
244;Marvin Matip;FC Cologne;24 Août 2005 ;183 cm;80 kg;Droit;20;;;62;37;75;75;;74;61;;;;61;51;50;60;65;71;73;;63;;;75;55;;45.0;;30;;;22;;22;;23;
245;Roland Benschneider;FC Cologne;24 Août 2005 ;202 cm;83 kg;Gauche;25;;;49;33;74;62;;76;56;;;;69;37;55;49;55;76;88;;54;;;84;59;;44.0;;23;;;25;;20;;24;
246;Andrew Sinkala;FC Cologne;24 Août 2005 ;175 cm;70 kg;Droit;26;;;71;58;64;66;;76;71;;;;58;56;63;56;69;72;66;;65;;;69;43;;56.0;;41;;;22;;20;;21;
247;Patrick Helmes;FC Cologne;24 Août 2005 ;182 cm;75 kg;Droit;21;;;65;70;37;42;;77;62;;;;67;45;45;45;75;75;70;;75;;;75;72;;60.0;;82;;;23;;20;;22;
248;Anthony Lurling;FC Cologne;24 Août 2005 ;173 cm;70 kg;Gauche;28;;;65;75;36;34;;65;70;;;;65;55;65;45;75;70;65;;85;;;70;75;;55.0;;61;;;23;;22;;25;
249;Rolf-Christel Guié-Mien;FC Cologne;24 Août 2005 ;177 cm;72 kg;Droit;27;;;84;81;26;28;;42;81;;;;42;76;71;64;75;66;61;;74;;;44;48;;69.0;;41;;;21;;24;;24;
250;Carsten Cullmann;FC Cologne;24 Août 2005 ;187 cm;80 kg;Droit;29;;;58;28;73;79;;76;64;;;;69;39;45;58;60;81;82;;51;;;73;61;;54.0;;24;;;24;;25;;21;
251;Christian Springer;FC Cologne;24 Août 2005 ;185 cm;71 kg;Gauche;34;;;70;55;44;52;;70;70;;;;60;80;54;60;80;60;60;;75;;;65;68;;60.0;;58;;;20;;22;;23;
252;Kasey Keller;Borussia Mönchengladbach;24 Août 2005 ;188 cm;86 kg;Droit;35;;;23;21;28;24;;55;52;;;;67;22;21;22;55;63;77;;60;;;21;26;;24.0;;24;;;72;;72;;86;
253;Kasper Bøgelund;Borussia Mönchengladbach;24 Août 2005 ;180 cm;75 kg;Droit;24;;;61;67;83;84;;73;74;;;;64;87;69;59;73;76;73;;74;;;68;66;;37.0;;46;;;21;;22;;25;
254;Thomas Helveg;Borussia Mönchengladbach;24 Août 2005 ;180 cm;81 kg;Droit;34;;;67;54;76;77;;79;72;;;;67;76;71;72;74;81;74;;77;;;77;42;;47.0;;41;;;22;;22;;24;
